id,text,loc,sentiment,aspects,conf,time
1,The police is extremely bad.,Garia,Negative,Safety,96.9%,06:55 PM
2,The pul is very good.,Newtown,Positive,Roads,94.6%,06:55 PM
3,The naala is very good. . The janbahon is very good. . The nirapotta is very good.,Kestopur,Positive,"Hygiene,Transit,Safety",98.7%,06:55 PM
4,The cleanliness is very good.,Salt Lake,Positive,Hygiene,96.1%,06:55 PM
5,The bhid is very good.,Salt Lake,Positive,Transit,95.2%,06:55 PM
6,The safe is extremely bad. . The badbu is extremely bad.,Behala,Negative,"Safety,Hygiene",95.5%,06:55 PM
7,The manush is extremely bad.,Tollygunge,Negative,Roads,99.7%,06:55 PM
8,The andhera is extremely bad.,Jadavpur,Negative,Safety,97.0%,06:55 PM
9,The toto is very good. . The flyover is very good.,Lake Town,Positive,"Transit,Roads",96.9%,06:55 PM
10,The safe is extremely bad. . The porishkar is extremely bad.,Kestopur,Negative,"Safety,Hygiene",99.7%,06:55 PM
11,The theft is extremely bad.,Newtown,Negative,Safety,96.4%,06:55 PM
12,The bhid is extremely bad. . The nirapotta is extremely bad.,Jadavpur,Negative,"Transit,Safety",97.5%,06:55 PM
13,The toto is very good. . The moila is very good.,Salt Lake,Positive,"Transit,Hygiene",95.6%,06:55 PM
14,The light is very good.,Dum Dum,Positive,Safety,96.2%,06:55 PM
15,The dustbin is very good.,Tollygunge,Positive,Hygiene,95.3%,06:55 PM
16,The suraksha is very good.,Newtown,Positive,Safety,98.7%,06:55 PM
17,The lighting is very good. . The sawari is very good.,Behala,Positive,"Safety,Transit",99.7%,06:55 PM
18,The dar is extremely bad.,Garia,Negative,Safety,96.5%,06:55 PM
19,The andhera is very good.,Jadavpur,Positive,Safety,96.4%,06:55 PM
20,The dar is very good.,Behala,Positive,Safety,96.6%,06:55 PM
21,The churi is very good.,Newtown,Positive,Safety,95.9%,06:55 PM
22,The raksha is very good. . The congestion is very good.,Jadavpur,Positive,"Safety,Transit",95.5%,06:55 PM
23,The goli is extremely bad.,Kestopur,Negative,Roads,99.5%,06:55 PM
24,The lighting is very good. . The waste is very good. . The bus is very good.,Dum Dum,Positive,"Safety,Hygiene,Transit",97.7%,06:55 PM
25,The metro is very good. . The dustbin is very good.,Lake Town,Positive,"Transit,Hygiene",98.0%,06:55 PM
26,The surface is extremely bad.,Garia,Negative,Roads,96.9%,06:55 PM
27,The safai is very good. . The metro is very good.,Garia,Positive,"Hygiene,Transit",95.9%,06:55 PM
28,The sanitation is extremely bad. . The traffic is extremely bad.,Garia,Negative,"Hygiene,Transit",96.0%,06:55 PM
29,The protection is extremely bad.,Tollygunge,Negative,Safety,99.2%,06:55 PM
30,The raston is very good.,Tollygunge,Positive,Roads,94.4%,06:55 PM
31,The shuttle is very good.,Dum Dum,Positive,Transit,98.6%,06:55 PM
32,The shuttle is very good. . The safe is very good.,Sector V,Positive,"Transit,Safety",96.8%,06:55 PM
33,The dustbin is very good. . The theft is very good. . The unnoto is very good.,Dum Dum,Positive,"Hygiene,Safety,Roads",99.1%,06:55 PM
34,The pavement is very good.,Sector V,Positive,Roads,99.2%,06:55 PM
35,The churi is extremely bad. . The metro is extremely bad.,Salt Lake,Negative,"Safety,Transit",99.9%,06:55 PM
36,The sadak is extremely bad.,Salt Lake,Negative,Roads,97.0%,06:55 PM
37,The chori is extremely bad.,Salt Lake,Negative,Safety,98.6%,06:55 PM
38,The goli is extremely bad.,Kestopur,Negative,Roads,98.0%,06:55 PM
39,The bhir is very good.,Salt Lake,Positive,Transit,96.3%,06:55 PM
40,The naala is extremely bad.,Kestopur,Negative,Hygiene,94.1%,06:55 PM
41,The sadak is extremely bad.,Lake Town,Negative,Roads,94.3%,06:55 PM
42,The raksha is very good.,Kestopur,Positive,Safety,95.6%,06:55 PM
43,The waste is very good.,Sector V,Positive,Hygiene,99.3%,06:55 PM
44,The highway is extremely bad. . The ganda is extremely bad.,Kestopur,Negative,"Roads,Hygiene",97.6%,06:55 PM
45,The nikashi is extremely bad.,Salt Lake,Negative,Hygiene,95.7%,06:55 PM
46,The kachra is very good.,Garia,Positive,Hygiene,96.8%,06:55 PM
47,The badhu is extremely bad.,Kestopur,Negative,Hygiene,95.4%,06:55 PM
48,The sarak is very good.,Lake Town,Positive,Roads,95.8%,06:55 PM
49,The street is very good. . The secure is very good.,Garia,Positive,"Roads,Safety",95.2%,06:55 PM
50,The yatayat is extremely bad.,Sector V,Negative,Transit,97.3%,06:55 PM
51,The suraksha is very good.,Behala,Positive,Safety,97.7%,06:55 PM
52,The naala is very good. . The congestion is very good.,Jadavpur,Positive,"Hygiene,Transit",99.2%,06:55 PM
53,The paribahan is extremely bad. . The dustbin is extremely bad.,Garia,Negative,"Transit,Hygiene",96.0%,06:55 PM
54,The naali is very good.,Behala,Positive,Hygiene,95.5%,06:55 PM
55,The bridge is very good. . The traffic is very good.,Kestopur,Positive,"Roads,Transit",97.7%,06:55 PM
56,The khof is very good. . The traffic is very good.,Garia,Positive,"Safety,Transit",94.4%,06:55 PM
57,The chori is very good. . The surface is very good.,Behala,Positive,"Safety,Roads",95.0%,06:55 PM
58,The police is very good. . The stench is very good.,Garia,Positive,"Safety,Hygiene",95.1%,06:55 PM
59,The toto is extremely bad. . The path is extremely bad.,Kestopur,Negative,"Transit,Roads",94.7%,06:55 PM
60,The lighting is extremely bad.,Salt Lake,Negative,Safety,97.9%,06:55 PM
61,The toto is extremely bad.,Jadavpur,Negative,Transit,97.4%,06:55 PM
62,The rickshaw is extremely bad.,Jadavpur,Negative,Transit,99.4%,06:55 PM
63,The waste is very good.,Sector V,Positive,Hygiene,95.7%,06:55 PM
64,The trash is extremely bad. . The bus is extremely bad.,Behala,Negative,"Hygiene,Transit",97.9%,06:55 PM
