id,text,loc,sentiment,aspects,conf,time,cleaned_text
1,The police is extremely bad.,Garia,Negative,Safety,96.9%,06:55 PM,the police is extremely bad.
2,The pul is very good.,Newtown,Positive,Roads,94.6%,06:55 PM,the pul is very good.
3,The naala is very good. . The janbahon is very good. . The nirapotta is very good.,Kestopur,Positive,"Hygiene,Transit,Safety",98.7%,06:55 PM,the naala is very good. . the janbahon is very good. . the nirapotta is very good.
4,The cleanliness is very good.,Salt Lake,Positive,Hygiene,96.1%,06:55 PM,the cleanliness is very good.
5,The bhid is very good.,Salt Lake,Positive,Transit,95.2%,06:55 PM,the bhid is very good.
6,The safe is extremely bad. . The badbu is extremely bad.,Behala,Negative,"Safety,Hygiene",95.5%,06:55 PM,the safe is extremely bad. . the badbu is extremely bad.
7,The manush is extremely bad.,Tollygunge,Negative,Roads,99.7%,06:55 PM,the manush is extremely bad.
8,The andhera is extremely bad.,Jadavpur,Negative,Safety,97.0%,06:55 PM,the andhera is extremely bad.
9,The toto is very good. . The flyover is very good.,Lake Town,Positive,"Transit,Roads",96.9%,06:55 PM,the toto is very good. . the flyover is very good.
10,The safe is extremely bad. . The porishkar is extremely bad.,Kestopur,Negative,"Safety,Hygiene",99.7%,06:55 PM,the safe is extremely bad. . the porishkar is extremely bad.
11,The theft is extremely bad.,Newtown,Negative,Safety,96.4%,06:55 PM,the theft is extremely bad.
12,The bhid is extremely bad. . The nirapotta is extremely bad.,Jadavpur,Negative,"Transit,Safety",97.5%,06:55 PM,the bhid is extremely bad. . the nirapotta is extremely bad.
13,The toto is very good. . The moila is very good.,Salt Lake,Positive,"Transit,Hygiene",95.6%,06:55 PM,the toto is very good. . the moila is very good.
14,The light is very good.,Dum Dum,Positive,Safety,96.2%,06:55 PM,the light is very good.
15,The dustbin is very good.,Tollygunge,Positive,Hygiene,95.3%,06:55 PM,the dustbin is very good.
16,The suraksha is very good.,Newtown,Positive,Safety,98.7%,06:55 PM,the suraksha is very good.
17,The lighting is very good. . The sawari is very good.,Behala,Positive,"Safety,Transit",99.7%,06:55 PM,the lighting is very good. . the sawari is very good.
18,The dar is extremely bad.,Garia,Negative,Safety,96.5%,06:55 PM,the dar is extremely bad.
19,The andhera is very good.,Jadavpur,Positive,Safety,96.4%,06:55 PM,the andhera is very good.
20,The dar is very good.,Behala,Positive,Safety,96.6%,06:55 PM,the dar is very good.
21,The churi is very good.,Newtown,Positive,Safety,95.9%,06:55 PM,the churi is very good.
22,The raksha is very good. . The congestion is very good.,Jadavpur,Positive,"Safety,Transit",95.5%,06:55 PM,the raksha is very good. . the congestion is very good.
23,The goli is extremely bad.,Kestopur,Negative,Roads,99.5%,06:55 PM,the goli is extremely bad.
24,The lighting is very good. . The waste is very good. . The bus is very good.,Dum Dum,Positive,"Safety,Hygiene,Transit",97.7%,06:55 PM,the lighting is very good. . the waste is very good. . the bus is very good.
25,The metro is very good. . The dustbin is very good.,Lake Town,Positive,"Transit,Hygiene",98.0%,06:55 PM,the metro is very good. . the dustbin is very good.
26,The surface is extremely bad.,Garia,Negative,Roads,96.9%,06:55 PM,the surface is extremely bad.
27,The safai is very good. . The metro is very good.,Garia,Positive,"Hygiene,Transit",95.9%,06:55 PM,the safai is very good. . the metro is very good.
28,The sanitation is extremely bad. . The traffic is extremely bad.,Garia,Negative,"Hygiene,Transit",96.0%,06:55 PM,the sanitation is extremely bad. . the traffic is extremely bad.
29,The protection is extremely bad.,Tollygunge,Negative,Safety,99.2%,06:55 PM,the protection is extremely bad.
30,The raston is very good.,Tollygunge,Positive,Roads,94.4%,06:55 PM,the raston is very good.
31,The shuttle is very good.,Dum Dum,Positive,Transit,98.6%,06:55 PM,the shuttle is very good.
32,The shuttle is very good. . The safe is very good.,Sector V,Positive,"Transit,Safety",96.8%,06:55 PM,the shuttle is very good. . the safe is very good.
33,The dustbin is very good. . The theft is very good. . The unnoto is very good.,Dum Dum,Positive,"Hygiene,Safety,Roads",99.1%,06:55 PM,the dustbin is very good. . the theft is very good. . the unnoto is very good.
34,The pavement is very good.,Sector V,Positive,Roads,99.2%,06:55 PM,the pavement is very good.
35,The churi is extremely bad. . The metro is extremely bad.,Salt Lake,Negative,"Safety,Transit",99.9%,06:55 PM,the churi is extremely bad. . the metro is extremely bad.
36,The sadak is extremely bad.,Salt Lake,Negative,Roads,97.0%,06:55 PM,the sadak is extremely bad.
37,The chori is extremely bad.,Salt Lake,Negative,Safety,98.6%,06:55 PM,the chori is extremely bad.
38,The goli is extremely bad.,Kestopur,Negative,Roads,98.0%,06:55 PM,the goli is extremely bad.
39,The bhir is very good.,Salt Lake,Positive,Transit,96.3%,06:55 PM,the bhir is very good.
40,The naala is extremely bad.,Kestopur,Negative,Hygiene,94.1%,06:55 PM,the naala is extremely bad.
41,The sadak is extremely bad.,Lake Town,Negative,Roads,94.3%,06:55 PM,the sadak is extremely bad.
42,The raksha is very good.,Kestopur,Positive,Safety,95.6%,06:55 PM,the raksha is very good.
43,The waste is very good.,Sector V,Positive,Hygiene,99.3%,06:55 PM,the waste is very good.
44,The highway is extremely bad. . The ganda is extremely bad.,Kestopur,Negative,"Roads,Hygiene",97.6%,06:55 PM,the highway is extremely bad. . the ganda is extremely bad.
45,The nikashi is extremely bad.,Salt Lake,Negative,Hygiene,95.7%,06:55 PM,the nikashi is extremely bad.
46,The kachra is very good.,Garia,Positive,Hygiene,96.8%,06:55 PM,the kachra is very good.
47,The badhu is extremely bad.,Kestopur,Negative,Hygiene,95.4%,06:55 PM,the badhu is extremely bad.
48,The sarak is very good.,Lake Town,Positive,Roads,95.8%,06:55 PM,the sarak is very good.
49,The street is very good. . The secure is very good.,Garia,Positive,"Roads,Safety",95.2%,06:55 PM,the street is very good. . the secure is very good.
50,The yatayat is extremely bad.,Sector V,Negative,Transit,97.3%,06:55 PM,the yatayat is extremely bad.
51,The suraksha is very good.,Behala,Positive,Safety,97.7%,06:55 PM,the suraksha is very good.
52,The naala is very good. . The congestion is very good.,Jadavpur,Positive,"Hygiene,Transit",99.2%,06:55 PM,the naala is very good. . the congestion is very good.
53,The paribahan is extremely bad. . The dustbin is extremely bad.,Garia,Negative,"Transit,Hygiene",96.0%,06:55 PM,the paribahan is extremely bad. . the dustbin is extremely bad.
54,The naali is very good.,Behala,Positive,Hygiene,95.5%,06:55 PM,the naali is very good.
55,The bridge is very good. . The traffic is very good.,Kestopur,Positive,"Roads,Transit",97.7%,06:55 PM,the bridge is very good. . the traffic is very good.
56,The khof is very good. . The traffic is very good.,Garia,Positive,"Safety,Transit",94.4%,06:55 PM,the khof is very good. . the traffic is very good.
57,The chori is very good. . The surface is very good.,Behala,Positive,"Safety,Roads",95.0%,06:55 PM,the chori is very good. . the surface is very good.
58,The police is very good. . The stench is very good.,Garia,Positive,"Safety,Hygiene",95.1%,06:55 PM,the police is very good. . the stench is very good.
59,The toto is extremely bad. . The path is extremely bad.,Kestopur,Negative,"Transit,Roads",94.7%,06:55 PM,the toto is extremely bad. . the path is extremely bad.
60,The lighting is extremely bad.,Salt Lake,Negative,Safety,97.9%,06:55 PM,the lighting is extremely bad.
61,The toto is extremely bad.,Jadavpur,Negative,Transit,97.4%,06:55 PM,the toto is extremely bad.
62,The rickshaw is extremely bad.,Jadavpur,Negative,Transit,99.4%,06:55 PM,the rickshaw is extremely bad.
63,The waste is very good.,Sector V,Positive,Hygiene,95.7%,06:55 PM,the waste is very good.
64,The trash is extremely bad. . The bus is extremely bad.,Behala,Negative,"Hygiene,Transit",97.9%,06:55 PM,the trash is extremely bad. . the bus is extremely bad.
65,The cleanliness is extremely bad. . The pothole is extremely bad.,Garia,Negative,"Hygiene,Roads",95.1%,06:55 PM,the cleanliness is extremely bad. . the pothole is extremely bad.
66,The bridge is extremely bad.,Garia,Negative,Roads,94.0%,06:55 PM,the bridge is extremely bad.
67,The street is extremely bad.,Dum Dum,Negative,Roads,97.8%,06:55 PM,the street is extremely bad.
68,The safai is extremely bad.,Newtown,Negative,Hygiene,97.9%,06:55 PM,the safai is extremely bad.
69,The auto is very good.,Garia,Positive,Transit,94.3%,06:55 PM,the auto is very good.
